m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
10,2,10.9,13.3,18.5,4.4,3.0,0.3,39.0,italië,comomeer
10,3,11.2,13.4,17.3,4.0,5.0,0.44,50.0,italië,comomeer
11,1,7.7,10.3,13.8,4.4,4.0,0.41,55.0,italië,comomeer
11,2,6.2,8.0,13.0,4.3,4.0,0.36,25.0,italië,comomeer
11,3,4.4,6.0,10.9,4.8,3.0,0.3,37.0,italië,comomeer
12,1,2.6,3.9,8.9,4.6,4.0,0.37,34.0,italië,comomeer
12,2,2.5,3.5,8.6,4.3,3.0,0.26,8.0,italië,comomeer
12,3,3.7,4.3,9.3,3.7,2.0,0.16,1.0,italië,comomeer
1,1,4.3,6.6,9.6,5.8,4.0,0.4,24.0,italië,gardameer
1,2,2.6,5.8,9.1,5.2,3.0,0.27,11.0,italië,gardameer
1,3,2.7,5.9,9.9,5.4,3.0,0.29,10.0,italië,gardameer
2,1,4.9,8.3,11.5,4.8,3.0,0.31,20.0,italië,gardameer
2,2,5.1,8.6,13.2,3.9,2.0,0.22,3.0,italië,gardameer
2,3,6.7,9.9,14.4,5.4,3.0,0.35,14.0,italië,gardameer
3,1,6.0,9.7,15.0,5.4,5.0,0.48,28.0,italië,gardameer
3,2,7.0,11.0,15.6,5.2,3.0,0.27,1.0,italië,gardameer
3,3,7.5,12.3,16.7,5.1,3.0,0.31,5.0,italië,gardameer
4,1,8.9,12.9,18.5,5.0,4.0,0.37,8.0,italië,gardameer
4,2,10.6,15.2,19.8,6.1,3.0,0.34,16.0,italië,gardameer
4,3,13.0,16.8,20.9,5.8,5.0,0.51,23.0,italië,gardameer
5,1,14.1,17.6,21.6,6.2,5.0,0.45,22.0,italië,gardameer
5,2,15.4,18.3,21.9,6.7,7.0,0.65,37.0,italië,gardameer
5,3,17.8,21.0,24.3,6.7,6.0,0.57,15.0,italië,gardameer
6,1,19.3,23.0,26.1,5.8,6.0,0.57,34.0,italië,gardameer
6,2,21.0,24.4,28.0,6.2,3.0,0.33,7.0,italië,gardameer
6,3,22.1,26.2,30.0,7.2,3.0,0.34,22.0,italië,gardameer
7,1,21.9,25.8,29.3,8.4,4.0,0.42,14.0,italië,gardameer
7,2,22.5,26.3,29.3,6.6,3.0,0.34,13.0,italië,gardameer
7,3,23.8,26.9,30.9,6.6,5.0,0.42,14.0,italië,gardameer
8,1,23.3,26.4,29.3,7.9,5.0,0.45,19.0,italië,gardameer
8,2,23.7,26.9,29.6,6.4,3.0,0.32,11.0,italië,gardameer
8,3,22.7,25.4,28.5,7.8,5.0,0.44,20.0,italië,gardameer
9,1,21.0,24.0,26.9,7.0,3.0,0.35,16.0,italië,gardameer
9,2,20.8,23.5,26.5,6.1,4.0,0.42,9.0,italië,gardameer
9,3,17.2,20.1,23.1,6.1,5.0,0.46,33.0,italië,gardameer
10,1,15.9,18.8,22.2,5.8,4.0,0.41,17.0,italië,gardameer
10,2,14.7,17.5,21.0,6.3,3.0,0.31,20.0,italië,gardameer
10,3,14.5,17.4,20.2,5.0,5.0,0.49,26.0,italië,gardameer
11,1,12.0,14.5,17.2,6.4,4.0,0.44,35.0,italië,gardameer
11,2,7.7,10.8,15.0,6.4,4.0,0.35,9.0,italië,gardameer
11,3,6.0,8.8,12.3,5.9,4.0,0.38,12.0,italië,gardameer
12,1,4.3,6.9,10.1,5.9,6.0,0.55,39.0,italië,gardameer
12,2,4.9,7.2,10.0,5.9,3.0,0.27,7.0,italië,gardameer
12,3,5.1,7.4,10.1,5.1,3.0,0.26,4.0,italië,gardameer
1,1,7.5,10.2,12.6,16.4,6.0,0.57,12.0,italië,genua
1,2,6.5,9.3,12.0,16.9,3.0,0.26,3.0,italië,genua
1,3,6.8,9.9,12.7,15.3,4.0,0.35,3.0,italië,genua
2,1,8.3,10.8,13.8,15.9,5.0,0.52,11.0,italië,genua
2,2,8.1,11.0,13.5,12.8,3.0,0.3,4.0,italië,genua
2,3,9.5,12.1,14.6,14.1,4.0,0.47,4.0,italië,genua
3,1,8.8,11.8,14.3,16.0,4.0,0.42,8.0,italië,genua
3,2,9.9,12.5,15.3,13.7,4.0,0.39,3.0,italië,genua
3,3,10.2,12.8,15.9,13.3,4.0,0.34,5.0,italië,genua
4,1,10.7,13.3,15.9,11.6,4.0,0.4,5.0,italië,genua
4,2,12.1,15.2,17.7,12.5,4.0,0.35,1.0,italië,genua
4,3,13.4,15.8,18.2,12.6,6.0,0.63,7.0,italië,genua
5,1,14.7,16.6,18.9,11.7,6.0,0.57,9.0,italië,genua
5,2,15.0,17.4,19.6,12.4,5.0,0.45,3.0,italië,genua
5,3,17.5,20.1,22.6,11.5,5.0,0.43,2.0,italië,genua
6,1,18.8,20.6,22.8,9.5,4.0,0.4,1.0,italië,genua
6,2,20.5,22.8,24.4,9.6,3.0,0.33,2.0,italië,genua
6,3,21.8,24.4,27.2,11.4,4.0,0.38,3.0,italië,genua
7,1,22.2,24.8,27.1,9.1,3.0,0.28,0.0,italië,genua
7,2,23.2,25.4,27.6,9.2,2.0,0.23,2.0,italië,genua
7,3,24.0,26.4,27.8,9.0,4.0,0.36,1.0,italië,genua
8,1,23.9,26.2,28.1,11.1,2.0,0.2,0.0,italië,genua
8,2,23.9,26.5,28.8,8.9,2.0,0.23,1.0,italië,genua
8,3,23.3,25.8,28.5,10.8,3.0,0.3,1.0,italië,genua
9,1,21.5,24.2,27.0,11.9,3.0,0.27,1.0,italië,genua
