m,coco,coco_pct,country,place
1,12.0,0.0,spanje,barcelona
1,14.0,0.0,spanje,barcelona
1,17.0,0.009,spanje,barcelona
1,18.0,0.0,spanje,barcelona
1,19.0,0.0,spanje,barcelona
1,21.0,0.0,spanje,barcelona
1,23.0,0.0,spanje,barcelona
1,25.0,0.0,spanje,barcelona
1,26.0,0.0,spanje,barcelona
2,1.0,0.306,spanje,barcelona
2,2.0,0.29,spanje,barcelona
2,3.0,0.27,spanje,barcelona
2,4.0,0.023,spanje,barcelona
2,5.0,0.064,spanje,barcelona
2,7.0,0.024,spanje,barcelona
2,8.0,0.01,spanje,barcelona
2,9.0,0.007,spanje,barcelona
2,12.0,0.002,spanje,barcelona
2,14.0,0.0,spanje,barcelona
2,17.0,0.004,spanje,barcelona
2,18.0,0.0,spanje,barcelona
